group	species	occurrence
birds	sp45354964	43640
birds	sp22712252	42415
birds	sp22694938	41888
birds	sp22712176	32206
birds	sp22718174	29680
birds	sp22697109	29288
birds	sp22693264	29066
birds	sp22688504	28965
birds	sp22734972	28922
birds	sp22689531	27920
birds	sp22727969	27773
birds	sp22729717	26684
birds	sp22718348	26626
birds	sp22693150	25937
birds	sp22696362	25902
birds	sp22715240	25624
birds	sp22728182	25427
birds	sp22718385	25051
birds	sp22680301	25005
birds	sp22696460	24964
birds	sp22697211	24793
birds	sp22730627	24710
birds	sp22706068	24248
birds	sp22696993	23582
birds	sp22682655	22955
birds	sp22680186	22757
birds	sp22693220	22232
birds	sp22714745	22216
birds	sp22693211	22107
birds	sp22683873	22101
birds	sp22696453	21907
birds	sp22693247	21757
birds	sp22693770	21564
birds	sp22712477	21441
birds	sp22693097	21036
birds	sp22716906	20687
birds	sp22693190	20683
birds	sp22718471	20615
birds	sp22694623	20604
birds	sp22693243	20075
birds	sp22696060	19765
birds	sp22710184	19674
birds	sp22693396	19417
birds	sp22710272	19122
birds	sp22725044	19062
birds	sp22696357	18870
birds	sp62120190	18864
birds	sp62774969	18863
birds	sp22686800	18670
birds	sp22692913	18649
birds	sp22717434	18288
birds	sp22718270	17891
birds	sp22696545	17888
birds	sp22710886	17881
birds	sp22695396	17617
birds	sp22695973	17419
birds	sp22705865	17311
birds	sp22694782	17300
birds	sp22706382	17239
birds	sp22714700	17108
birds	sp22680455	17037
birds	sp22695624	16822
birds	sp22709192	16710
birds	sp22695683	16523
birds	sp22727733	16406
birds	sp22715244	16384
birds	sp22697031	16359
birds	sp22689507	16325
birds	sp22693093	16218
birds	sp22680485	16192
birds	sp22680492	16190
birds	sp22696792	16045
birds	sp22697669	15879
birds	sp22680373	15821
birds	sp22694764	15797
birds	sp22680391	15627
birds	sp22718392	15607
birds	sp22693235	15494
birds	sp22678944	15456
birds	sp22717415	15403
birds	sp22693408	15347
birds	sp22714722	15319
birds	sp22693216	15299
birds	sp22693277	15132
birds	sp22735990	15105
birds	sp22706016	15074
birds	sp22693231	15064
birds	sp22682860	15045
birds	sp22709707	15043
birds	sp22716915	14813
birds	sp22716910	14803
birds	sp22718575	14622
birds	sp22694989	14588
birds	sp22696432	14579
birds	sp22720646	14579
birds	sp22721043	14577
birds	sp22696495	14573
birds	sp22708146	14480
birds	sp22693759	14267
birds	sp22711483	14147
birds	sp22688927	14129
birds	sp22683027	13932
birds	sp22721033	13911
birds	sp22696602	13859
birds	sp22695344	13744
birds	sp22680683	13670
birds	sp22695405	13667
birds	sp22690066	13598
birds	sp22696048	13550
birds	sp22689887	13546
birds	sp22697691	13512
birds	sp22721012	13481
birds	sp22697422	13353
birds	sp22686845	13274
birds	sp22693740	13250
birds	sp22694420	13238
birds	sp22696092	13056
birds	sp22717383	13045
birds	sp22714654	12986
birds	sp22720556	12938
birds	sp22705001	12884
birds	sp22680358	12872
birds	sp22693239	12829
birds	sp22679886	12782
birds	sp22714916	12731
birds	sp22696038	12728
birds	sp22735766	12672
birds	sp22693178	12616
birds	sp22714679	12544
birds	sp22711487	12520
birds	sp22693427	12486
birds	sp22689714	12469
birds	sp22693399	12455
birds	sp22696395	12440
birds	sp22718546	12314
birds	sp22689328	12306
birds	sp22693749	12254
birds	sp22679460	12247
birds	sp22697627	12230
birds	sp22695028	12205
birds	sp22735920	12057
birds	sp22693336	12049
birds	sp22727487	11949
birds	sp22715319	11942
birds	sp22679763	11835
birds	sp22734119	11829
birds	sp22688643	11745
birds	sp22693369	11731
birds	sp22712427	11718
birds	sp22694308	11646
birds	sp22694387	11641
birds	sp22697346	11628
birds	sp22720041	11617
birds	sp22705005	11518
birds	sp22695180	11514
birds	sp22735810	11458
birds	sp22710051	11441
birds	sp22693949	11291
birds	sp22696610	11238
birds	sp22695137	11153
birds	sp22681124	11145
birds	sp22734216	11134
birds	sp22693712	11076
birds	sp22715310	11045
birds	sp22715260	11028
birds	sp61752071	10995
birds	sp22693379	10929
birds	sp22720671	10922
birds	sp22708286	10875
birds	sp22697829	10864
birds	sp22705243	10856
birds	sp22693431	10851
birds	sp22720625	10819
birds	sp22689362	10780
birds	sp22711150	10730
birds	sp22727137	10724
birds	sp22692676	10555
birds	sp22680003	10529
birds	sp22683645	10474
birds	sp22708819	10428
birds	sp61450351	10416
birds	sp22694787	10410
birds	sp22710333	10398
birds	sp22705983	10378
birds	sp22705011	10304
birds	sp22716901	10292
birds	sp22705764	10280
birds	sp22693052	10202
birds	sp22690419	10188
birds	sp22709701	10168
birds	sp22696974	10064
birds	sp22720960	10028
birds	sp22695490	10013
birds	sp22692543	9881
birds	sp22709308	9848
birds	sp22692792	9836
birds	sp22686856	9814
birds	sp61695117	9798
birds	sp22711703	9789
birds	sp22735909	9785
birds	sp22696574	9784
birds	sp22721657	9760
birds	sp22735965	9733
birds	sp22697834	9725
birds	sp22715316	9701
birds	sp22735060	9601
birds	sp22689189	9598
birds	sp22713491	9598
birds	sp22693437	9597
birds	sp22693133	9577
birds	sp22734130	9533
birds	sp22692146	9513
birds	sp22718501	9453
birds	sp22693203	9432
birds	sp22718379	9416
birds	sp22708816	9370
birds	sp22679464	9342
birds	sp22684331	9340
birds	sp22679889	9329
birds	sp22717304	9290
birds	sp22697123	9250
birds	sp22693764	9243
birds	sp22712004	9175
birds	sp22679856	9141
birds	sp22697624	9135
birds	sp22708775	9019
birds	sp22699787	8986
birds	sp22712098	8970
birds	sp22714736	8949
birds	sp22681382	8899
birds	sp22710055	8891
birds	sp22720419	8852
birds	sp22690439	8836
birds	sp22679746	8833
birds	sp45111439	8802
birds	sp22718560	8799
birds	sp22728944	8796
birds	sp22715264	8792
birds	sp22727811	8765
birds	sp22693207	8762
birds	sp22718550	8758
birds	sp22689118	8748
birds	sp22708664	8732
birds	sp22721110	8685
birds	sp22693388	8669
birds	sp22708822	8567
birds	sp22705095	8547
birds	sp22683623	8489
birds	sp22679875	8467
birds	sp22697356	8431
birds	sp22735894	8397
birds	sp22693373	8333
birds	sp22712650	8321
birds	sp45100023	8315
birds	sp22705912	8304
birds	sp22696487	8288
birds	sp22708658	8288
birds	sp22680398	8283
birds	sp22734997	8260
birds	sp22720966	8222
birds	sp22696773	8203
birds	sp22721676	8168
birds	sp45953631	8163
birds	sp22714664	8124
birds	sp22683800	8110
birds	sp22721879	8110
birds	sp22697008	8065
birds	sp22721088	8065
birds	sp22684026	8001
birds	sp22716942	7972
birds	sp22736562	7951
birds	sp22708958	7950
birds	sp22680500	7889
birds	sp22712057	7885
birds	sp22690645	7850
birds	sp22693158	7760
birds	sp22696705	7734
birds	sp22695115	7728
birds	sp22693777	7722
birds	sp22694373	7701
birds	sp22697017	7672
birds	sp22720354	7657
birds	sp22710325	7656
birds	sp22696033	7648
birds	sp22697510	7625
birds	sp22705929	7619
birds	sp22692684	7618
birds	sp22720681	7616
birds	sp22720878	7568
birds	sp22680095	7547
birds	sp22700506	7507
birds	sp22679993	7487
birds	sp22731506	7483
birds	sp22693251	7472
birds	sp22683740	7432
birds	sp22697673	7427
birds	sp22697590	7415
birds	sp22679862	7366
birds	sp22708806	7357
birds	sp22693085	7337
birds	sp22721737	7328
birds	sp22683652	7305
birds	sp22679935	7299
birds	sp22721052	7289
birds	sp22708829	7288
birds	sp22721064	7278
birds	sp22693383	7242
birds	sp22721762	7240
birds	sp22708655	7239
birds	sp22680427	7196
birds	sp22683634	7192
birds	sp22680402	7191
birds	sp22693528	7187
birds	sp22733462	7184
birds	sp22700485	7181
birds	sp22693793	7170
birds	sp22695933	7167
birds	sp22696998	7167
birds	sp22735032	7167
birds	sp22720030	7149
birds	sp22710156	7097
birds	sp22695144	7092
birds	sp22733619	7044
birds	sp22686762	7032
birds	sp22721624	7026
birds	sp22679494	7017
birds	sp22725141	7010
birds	sp22734747	7009
birds	sp22700605	7008
birds	sp22693414	6999
birds	sp22692816	6972
birds	sp22708667	6943
birds	sp22708257	6925
birds	sp22697463	6920
birds	sp22720441	6907
birds	sp22721836	6907
birds	sp22709733	6895
birds	sp22689353	6866
birds	sp22693472	6852
birds	sp22695219	6842
birds	sp22721162	6827
birds	sp22682920	6802
birds	sp22680465	6793
birds	sp22697654	6780
birds	sp22697648	6773
birds	sp22713861	6768
birds	sp22714891	6754
birds	sp22690854	6747
birds	sp22712299	6746
birds	sp22694629	6735
birds	sp22680057	6723
birds	sp22694256	6660
birds	sp22693842	6646
birds	sp22696702	6646
birds	sp22707495	6645
birds	sp22723396	6627
birds	sp22680462	6611
birds	sp22696437	6582
birds	sp22712110	6556
birds	sp22693112	6547
birds	sp22708153	6525
birds	sp22680370	6518
birds	sp22693404	6518
birds	sp22686774	6516
birds	sp22695130	6515
birds	sp22712567	6512
birds	sp22694132	6486
birds	sp22696500	6470
birds	sp22706064	6470
birds	sp22708793	6459
birds	sp22718630	6450
birds	sp22683255	6430
birds	sp22724191	6417
birds	sp22694432	6416
birds	sp22696599	6399
birds	sp22695409	6394
birds	sp22696116	6381
birds	sp22695189	6378
birds	sp22683756	6366
birds	sp22716932	6352
birds	sp22697340	6350
birds	sp22707108	6349
birds	sp22695185	6338
birds	sp22695017	6337
birds	sp22690784	6329
birds	sp22697001	6329
birds	sp22721159	6319
birds	sp22713607	6318
birds	sp22700575	6302
birds	sp22695669	6299
birds	sp22730987	6291
birds	sp22714871	6290
birds	sp22694127	6289
birds	sp62169677	6287
birds	sp22679555	6282
birds	sp22709675	6282
birds	sp22683260	6263
birds	sp22683819	6252
birds	sp22720359	6246
birds	sp22697645	6239
birds	sp61815999	6235
birds	sp22699895	6231
birds	sp22680061	6227
birds	sp22695897	6227
birds	sp22693862	6219
birds	sp22697595	6218
birds	sp22683688	6217
birds	sp22695729	6205
birds	sp22695238	6201
birds	sp22695021	6199
birds	sp22693363	6194
birds	sp22684434	6193
birds	sp22699845	6181
birds	sp22718921	6143
birds	sp22697564	6139
birds	sp22683649	6135
birds	sp22693490	6127
birds	sp22684017	6126
birds	sp22712092	6121
birds	sp22684343	6104
birds	sp22709696	6098
birds	sp22694317	6095
birds	sp22699182	6090
birds	sp22693735	6080
birds	sp22719988	6076
birds	sp22690499	6067
birds	sp22696134	6062
birds	sp22705916	6059
birds	sp22727750	6056
birds	sp22695289	6050
birds	sp22695903	6050
birds	sp22690103	6046
birds	sp22724345	6044
birds	sp22708812	6042
birds	sp22683866	6025
birds	sp61418830	6024
birds	sp22714688	6020
birds	sp22682912	6018
birds	sp22696606	6009
